Date Last Researched,Country/Area,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Status,Reactor Type,Model,Start Year,Retirement Year,Planned Retirement,Cancellation Year,Construction Start Date,First Criticality Date,First Grid Connection,Commercial Operation Date,Retirement Date,Owner,Owner Name in Local Language / Script,Operator,Operator Name in Local Language / Script,Reference Net Capacity (MW),Design Net Capacity (MW),Thermal Capacity (MWt),Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Wiki URL,capacity_numeric
2024-05-08,Bulgaria,Kozloduy nuclear power plant,6,,,1040.0,operating,pressurized water reactor,VVER V-320,1993.0,,,,1982-04-01,1991-05-29,1991-08-02,1993-12-30,,Bulgarian Energy Holding EAD [100%],БЪЛГАРСКИ ЕНЕРГИЕН ХОЛДИНГ,,,1003.0,1003.0,3120.0,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500191,https://www.gem.wiki/Kozloduy_nuclear_power_plant,1040.0
2025-07-09,Bulgaria,Kozloduy nuclear power plant,7,,,1000.0,pre-construction,pressurized water reactor,AP-1000,2033.0,,,,,,,2033,,,,,,,,,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500717,https://www.gem.wiki/Kozloduy_nuclear_power_plant,1000.0
2025-07-09,Bulgaria,Kozloduy nuclear power plant,8,,,1000.0,pre-construction,pressurized water reactor,AP-1000,2036.0,,,,,,,2036,,,,,,,,,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500718,https://www.gem.wiki/Kozloduy_nuclear_power_plant,1000.0
2025-07-02,Canada,Alberta nuclear power plant,1,,,315.0,announced,small modular reactor,BWRX-300,2030.0,,,,,,,2030,,Ontario Power Generation Inc; Capital Power Corp,,,,,,,53.534,-113.489,approximate,Edmonton,,,Alberta,Northern America,Americas,L100001007723,G100001009070,https://www.gem.wiki/Alberta_nuclear_power_plant,315.0
2025-07-02,Canada,Alberta nuclear power plant,2,,,315.0,announced,small modular reactor,BWRX-300,2030.0,,,,,,,2030,,Ontario Power Generation Inc; Capital Power Corp,,,,,,,53.534,-113.489,approximate,Edmonton,,,Alberta,Northern America,Americas,L100001007723,G100001017672,https://www.gem.wiki/Alberta_nuclear_power_plant,315.0
2024-05-08,Canada,Bruce nuclear power plant,A1,,,868.0,operating,pressurized heavy water reactor,CANDU 791,1977.0,2042.0,Y,,1971-06-01,1976-12-17,1977-01-14,1977-09-01,2042,Ontario Power Generation Inc [100%],,Bruce Power,,774.0,732.0,2620.0,44.3391,-81.5747,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500339,https://www.gem.wiki/Bruce_nuclear_power_plant,868.0
2024-05-08,Canada,Bruce nuclear power plant,A2,,,836.0,operating,pressurized heavy water reactor,CANDU 791,1977.0,2043.0,Y,,1970-12-01,1976-07-27,1976-09-04,1977-09-01,2043,Ontario Power Generation Inc [100%],,Bruce Power,,777.0,732.0,2620.0,44.3391,-81.5747,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500340,https://www.gem.wiki/Bruce_nuclear_power_plant,836.0
2024-05-08,Canada,Bruce nuclear power plant,A3,,,865.0,operating,pressurized heavy water reactor,CANDU 750A,1978.0,2064.0,Y,,1972-07-01,1977-11-28,1977-12-12,1978-02-01,2064,Ontario Power Generation Inc [100%],,Bruce Power,,770.0,750.0,2550.0,44.3391,-81.5747,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500352,https://www.gem.wiki/Bruce_nuclear_power_plant,865.0
2024-05-08,Canada,Bruce nuclear power plant,A4,,,868.0,operating,pressurized heavy water reactor,CANDU 750A,1979.0,2064.0,Y,,1972-09-01,1978-12-10,1978-12-21,1979-01-18,2064,Ontario Power Generation Inc [100%],,Bruce Power,,769.0,750.0,2550.0,44.3391,-81.5747,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500351,https://www.gem.wiki/Bruce_nuclear_power_plant,868.0
2024-05-08,Canada,Bruce nuclear power plant,B5,,,872.0,operating,pressurized heavy water reactor,CANDU 750B,1985.0,2064.0,Y,,1978-05-31,1984-11-14,1984-12-01,1985-02-28,2064,Ontario Power Generation Inc [100%],,Bruce Power,,817.0,822.0,2832.0,44.319,-81.6027,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500258,https://www.gem.wiki/Bruce_nuclear_power_plant,872.0
2024-05-08,Canada,Bruce nuclear power plant,B6,,,891.0,operating,pressurized heavy water reactor,CANDU 750B,1984.0,2064.0,Y,,1978-01-01,1984-05-29,1984-06-26,1984-09-14,2064,Ontario Power Generation Inc [100%],,Bruce Power,,817.0,822.0,2690.0,44.319,-81.6027,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500326,https://www.gem.wiki/Bruce_nuclear_power_plant,891.0
2024-05-08,Canada,Bruce nuclear power plant,B7,,,872.0,operating,pressurized heavy water reactor,CANDU 750B,1986.0,2064.0,Y,,1979-05-01,1986-01-07,1986-02-22,1986-04-10,2064,Ontario Power Generation Inc [100%],,Bruce Power,,817.0,822.0,2832.0,44.319,-81.6027,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500259,https://www.gem.wiki/Bruce_nuclear_power_plant,872.0
2024-05-08,Canada,Bruce nuclear power plant,B8,,,872.0,operating,pressurized heavy water reactor,CANDU 750B,1987.0,2064.0,Y,,1979-07-30,1987-02-13,1987-03-07,1987-05-20,2064,Ontario Power Generation Inc [100%],,Bruce Power,,817.0,795.0,2690.0,44.319,-81.6027,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500327,https://www.gem.wiki/Bruce_nuclear_power_plant,872.0
2024-05-08,Canada,Bruce nuclear power plant,C1,,,1000.0,cancelled,unknown,unknown,,,,2009.0,,,,,,,,Bruce Power,,,,,44.3092,-81.5895,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000501055,https://www.gem.wiki/Bruce_nuclear_power_plant,1000.0
2024-05-08,Canada,Bruce nuclear power plant,C2,,,1000.0,cancelled,unknown,unknown,,,,2009.0,,,,,,,,Bruce Power,,,,,44.3092,-81.5895,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000501056,https://www.gem.wiki/Bruce_nuclear_power_plant,1000.0
2024-05-08,Canada,Bruce nuclear power plant,C3,,,1000.0,cancelled,unknown,unknown,,,,2009.0,,,,,,,,Bruce Power,,,,,44.3092,-81.5895,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000501057,https://www.gem.wiki/Bruce_nuclear_power_plant,1000.0
2024-05-09,Canada,Bruce nuclear power plant,C4,,,1000.0,cancelled,unknown,unknown,,,,2009.0,,,,,,,,Bruce Power,,,,,44.3092,-81.5895,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000501058,https://www.gem.wiki/Bruce_nuclear_power_plant,1000.0
2025-07-02,Canada,Chalk River nuclear power plant,--,,,5.0,shelved,microreactor,unknown,,,,,2025,,,,,Global First Power Ltd,,Ultra Safe Nuclear CORP; Ontario Power Generation,,,,15.0,46.05001,-77.3636,exact,,Renfrew County,Eastern Ontario,Ontario,Northern America,Americas,L100000500386,G100000501059,https://www.gem.wiki/Chalk_River_nuclear_power_plant,5.0
2025-07-02,Canada,Darlington New nuclear power plant,1,,,300.0,pre-construction,small modular reactor,BWRX-300,2030.0,,,,,,,2030,,Ontario Power Generation Inc [100%],,Ontario Power Generation,,,,,43.8733,-78.7057,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500280,G100000500647,https://www.gem.wiki/Darlington_New_nuclear_power_plant,300.0
2025-07-02,Canada,Darlington New nuclear power plant,2,,,300.0,announced,small modular reactor,BWRX-300,2036.0,,,,,,,2036,,Ontario Power Generation Inc [100%],,Ontario Power Generation,,,,,43.8733,-78.7057,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500280,G100000501060,https://www.gem.wiki/Darlington_New_nuclear_power_plant,300.0
2025-07-02,Canada,Darlington New nuclear power plant,3,,,300.0,announced,small modular reactor,BWRX-300,2036.0,,,,,,,2036,,Ontario Power Generation Inc [100%],,Ontario Power Generation,,,,,43.8733,-78.7057,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500280,G100000501061,https://www.gem.wiki/Darlington_New_nuclear_power_plant,300.0
