Country/Area,Region,Subregion,State/Province,Project Name,Unit Name,Status,Reactor Type,Model,capacity_numeric,capacity_factor,annual_generation_twh,Start Year,Retirement Year,Commercial Operation Date,Construction Start Date,Latitude,Longitude
United States,Americas,Northern America,Pennsylvania,Fulton nuclear power plant,2,cancelled,high temperature gas reactor,unknown,1160.0,0.85,8.63736,,,,,39.7675,-76.2334
United States,Americas,Northern America,Mississippi,Grand Gulf nuclear power plant,1,operating,boiling water reactor,BWR-6 (Mark 3),1500.0,0.9,11.826,1985.0,,1985-07-01,1974-05-04,32.0081,-91.0478
United States,Americas,Northern America,Mississippi,Grand Gulf nuclear power plant,2,cancelled,boiling water reactor,unknown,1250.0,0.85,9.3075,,,,,32.0081,-91.0478
United States,Americas,Northern America,Mississippi,Grand Gulf nuclear power plant,3,cancelled,boiling water reactor,unknown,1520.0,0.85,11.31792,,,,,32.0081,-91.0478
United States,Americas,Northern America,Wyoming,Green River nuclear power plant,1,announced,small modular reactor,BANR,5.0,0.85,0.03723,,,,,41.5915812,-109.7549522
United States,Americas,Northern America,Wyoming,Green River nuclear power plant,2,announced,small modular reactor,BANR,5.0,0.85,0.03723,,,,,41.5915812,-109.7549522
United States,Americas,Northern America,Wyoming,Green River nuclear power plant,3,announced,small modular reactor,BANR,5.0,0.85,0.03723,,,,,41.5915812,-109.7549522
United States,Americas,Northern America,Wyoming,Green River nuclear power plant,4,announced,small modular reactor,BANR,5.0,0.85,0.03723,,,,,41.5915812,-109.7549522
United States,Americas,Northern America,Wyoming,Green River nuclear power plant,5,announced,small modular reactor,BANR,5.0,0.85,0.03723,,,,,41.5915812,-109.7549522
United States,Americas,Northern America,Wyoming,Green River nuclear power plant,6,announced,small modular reactor,BANR,5.0,0.85,0.03723,,,,,41.5915812,-109.7549522
United States,Americas,Northern America,Wyoming,Green River nuclear power plant,7,announced,small modular reactor,BANR,5.0,0.85,0.03723,,,,,41.5915812,-109.7549522
United States,Americas,Northern America,Wyoming,Green River nuclear power plant,8,announced,small modular reactor,BANR,5.0,0.85,0.03723,,,,,41.5915812,-109.7549522
United States,Americas,Northern America,New York,Greene County nuclear power plant,1,cancelled,pressurized water reactor,unknown,1212.0,0.85,9.024552,,,,,42.1499,-73.9114
United States,Americas,Northern America,Michigan,Greenwood nuclear power plant,2,cancelled,pressurized water reactor,unknown,1264.0,0.85,9.411744,,,,,43.1062,-82.6979
United States,Americas,Northern America,Michigan,Greenwood nuclear power plant,3,cancelled,pressurized water reactor,unknown,1264.0,0.85,9.411744,,,,,43.1062,-82.6979
United States,Americas,Northern America,South Carolina,H. B. Robinson nuclear power plant,2,operating,pressurized water reactor,WH 3LP (DRYAMB),780.0,0.9,6.14952,1971.0,,1971-03-07,1967-04-13,34.4017,-80.1589
United States,Americas,Northern America,Nebraska,Hallam nuclear power plant,--,retired,unknown,LMGMR,84.0,0.85,0.625464,1963.0,1964.0,1963-11-01,1959-01-01,40.55901,-96.7848
United States,Americas,Northern America,Tennessee,Hartsville nuclear power plant,A1,cancelled,boiling water reactor,unknown,1205.0,0.85,8.97243,,,,,36.3544,-86.0887
United States,Americas,Northern America,Tennessee,Hartsville nuclear power plant,A2,cancelled,boiling water reactor,unknown,1205.0,0.85,8.97243,,,,,36.3544,-86.0887
United States,Americas,Northern America,Tennessee,Hartsville nuclear power plant,B1,cancelled,boiling water reactor,unknown,1233.0,0.85,9.180918,,,,,36.3544,-86.0887
United States,Americas,Northern America,Tennessee,Hartsville nuclear power plant,B2,cancelled,boiling water reactor,unknown,1233.0,0.85,9.180918,,,,,36.3544,-86.0887
United States,Americas,Northern America,Wisconsin,Haven nuclear power plant,1,cancelled,pressurized water reactor,unknown,900.0,0.85,6.7014,,,,,43.8509,-87.7349
United States,Americas,Northern America,Wisconsin,Haven nuclear power plant,2,cancelled,pressurized water reactor,unknown,900.0,0.85,6.7014,,,,,43.8509,-87.7349
United States,Americas,Northern America,Tennessee,Hermes nuclear power plant,1,construction,small modular reactor,KP-FHR,50.0,0.85,0.3723,2027.0,,2027,,35.9377806,-84.4032804
United States,Americas,Northern America,Tennessee,Hermes nuclear power plant,2a,pre-construction,small modular reactor,KP-FHR,10.0,0.85,0.07446,2027.0,,2027,,35.9377806,-84.4032804
United States,Americas,Northern America,Tennessee,Hermes nuclear power plant,2b,pre-construction,small modular reactor,KP-FHR,10.0,0.85,0.07446,2027.0,,2027,,35.9377806,-84.4032804
United States,Americas,Northern America,New Jersey,Hope Creek nuclear power plant,1,operating,boiling water reactor,BWR-4 (Mark 1),1240.0,0.9,9.77616,1986.0,,1986-12-20,1976-03-01,39.4666,-75.5377
United States,Americas,Northern America,New Jersey,Hope Creek nuclear power plant,2,cancelled,boiling water reactor,unknown,1067.0,0.85,7.944882,,,,,39.4666,-75.5377
United States,Americas,Northern America,California,Humboldt Bay nuclear power plant,--,retired,boiling water reactor,Natural cir.,65.0,0.85,0.48399,1963.0,1976.0,1963-08-01,1960-11-01,40.7407,-124.2091
United States,Americas,Northern America,Idaho,Idaho Energy Complex nuclear power plant,--,cancelled,pressurized water reactor,EPR,1600.0,0.85,11.9136,,,,,42.878355,-115.8002334
United States,Americas,Northern America,Idaho,Idaho Energy Complex Payette County nuclear power plant,1,cancelled,pressurized water reactor,APR-1400,1350.0,0.85,10.0521,,,,,44.0030341,-116.7866271
United States,Americas,Northern America,Idaho,Idaho National Laboratory Demonstration nuclear power plant,--,cancelled - inferred 4 y,gas-cooled reactor,MMR,15.0,0.85,0.11169,,,,,43.5194343,-112.0458268
United States,Americas,Northern America,New York,Indian Point nuclear power plant,1,retired,pressurized water reactor,unknown,277.0,0.85,2.062542,1962.0,1974.0,1962-10-01,1956-05-01,41.2706,-73.9527
United States,Americas,Northern America,New York,Indian Point nuclear power plant,2,retired,pressurized water reactor,WH 4LP (DRYAMB),1067.0,0.85,7.944882,1974.0,2020.0,1974-08-01,1966-10-14,41.2706,-73.9527
United States,Americas,Northern America,New York,Indian Point nuclear power plant,3,retired,pressurized water reactor,WH 4LP (DRYAMB),1085.0,0.85,8.07891,1976.0,2021.0,1976-08-28,1968-10-30,41.2706,-73.9527
United States,Americas,Northern America,New York,James A Fitzpatrick nuclear power plant,--,operating,boiling water reactor,BWR-4 (Mark 1),849.0,0.9,6.693516,1975.0,,1975-07-28,1968-09-01,43.5223,-76.3955
United States,Americas,Northern America,New York,Jamesport nuclear power plant,1,cancelled,pressurized water reactor,unknown,1150.0,0.85,8.5629,,,,,40.9911,-72.6032
United States,Americas,Northern America,New York,Jamesport nuclear power plant,2,cancelled,pressurized water reactor,unknown,1150.0,0.85,8.5629,,,,,40.9911,-72.6032
